Doc,tag,entities
29 Frontal-row passenger's seat belt pretensioner deployment status - - Means the time from the beginning of the event (T0) to the frontal-row passenger's seat belt pretensioner deployment command.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"30 Frontal-row pfront airbag suspression status - - Means suspression status of the frontal-row passenger's front airbag, apply for vehicle with front airbag suppression switch.","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
31 Frontal-row passenger's front airbag deployment time,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
(Phase I) - - Means the time from the beginning of the event (T0) to the phase I of frontal-row passenger's front airbag deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
32 Frontal-row passenger's front airbag deployment time (Phase II) - - Means the time from the beginning of the event (T0) to the phase II of frontal-row passenger's front airbag deployment command.,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHASE', 'L-PHASE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(57, 65, 'PHASE')]"
33,['B-CARDINAL'],[]
Frontal-row - - Means the time from the beginning of the 15 For Reference Purposes Only No. Name Minimum Recording Interval Minimum Recording Frequency Data Description passenger's side airbag deployment time event (T0) to the frontal-row passenger's side airbag deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
34 Frontal-row passenger's side air curtain deployment time - - Means the elapsed time since the beginning of the event (time zero) until the frontal-row passenger's side air curtain deployment command.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"35 Occupant protection system warning status - - Means the occupant protection system malfunction status, apply for vehicle of bus at the occupant protection system warning status.","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"36 Tire pressure monitoring system warning status - - Means the warning status when the on-board tire pressure monitoring system has detected that the tire pressure in one or more tire(s) is low, apply for vehicle of bus at warning status.","['U-ORDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 2, 'ORDINAL')]"
37 Braking system warning status -5.0s to 0s relative to time zero,"['B-CARDINAL', 'O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(33, 44, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
"2Hz Malfunction status of braking system, apply for vehicle of bus at warning status.","['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'PARAMETER')]"
38e,['B-CARDINAL'],[]
Cruise control system status -5.0s to 0s relative to time zero,"['O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(29, 40, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means operative status of the cruise control system.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O']","[(0, 3, 'PARAMETER'), (34, 55, 'SYSTEM')]"
39e,['U-CARDINAL'],"[(0, 3, 'CARDINAL')]"
Adaptive cruise control system status -5.0s to 0s relative to time zero,"['B-SYSTEM', 'I-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 30, 'SYSTEM'), (38, 49, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means operative status of the adaptive cruise control system.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O']","[(0, 3, 'PARAMETER'), (34, 64, 'SYSTEM')]"
40e,['B-CARDINAL'],[]
Anti braking system status -5.0s to 0s relative to time zero,"['O', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(27, 38, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Operative status of ABS. 41e,"['U-PARAMETER', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-CARDINAL']","[(0, 3, 'PARAMETER'), (24, 27, 'ABBREV'), (29, 32, 'CARDINAL')]"
Autonomous Emergency Braking (AEB) system status -5.0s to 0s relative to time zero,"['B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'U-ABBREV', 'O', 'O', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 28, 'SYSTEM'), (30, 33, 'ABBREV'), (49, 60, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means operative status of the AEB system.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'L-SYSTEM', 'O']","[(0, 3, 'PARAMETER'), (34, 44, 'SYSTEM')]"
42e,['B-CARDINAL'],[]
Electronic stability control system status -5.0s to 0s relative to time zero,"['B-SYSTEM', 'I-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'B-PARAMETER', 'I-PARAMETER', 'I-PARAMETER', 'O', 'O', 'O', 'B-CARDINAL']","[(0, 35, 'SYSTEM')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means operative status of the electronic stability control system.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O']","[(0, 3, 'PARAMETER'), (34, 69, 'SYSTEM')]"
43e,['B-CARDINAL'],[]
Traction control system status -5.0s to 0s relative to time zero,"['B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O', 'O', 'O', 'O']","[(0, 23, 'SYSTEM'), (31, 42, 'PARAMETER')]"
(-1.1s to 0s),"['O', 'B-PARAMETER', 'I-PARAMETER', 'L-PARAMETER', 'O']","[(1, 12, 'PARAMETER')]"
2Hz Means operative status of traction control system.,"['U-PARAMETER', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'I-SYSTEM', 'L-SYSTEM', 'O']","[(0, 3, 'PARAMETER'), (30, 53, 'SYSTEM')]"
"44 Pre-event synchronization timing time - - Means relative time from last data sampling point before T0 to T0, apply for vehiciles with pre-event synchronization timing function.","['B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"a If delta-V in Table 2 and 3 are recorded (including, delta-V, maximum delta-V recorded, and time to reach maximum delta-V recorded), acceleration parameter might not be recorded.","['O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'I-TABLE', 'I-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(16, 29, 'TABLE')]"
b It is necessary to make record where side airbag or air curtain is equipped.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
c,['O'],[]
It is necessary to make record where satellite positioning device is equipped.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
d,['O'],[]
"If accelerator pedal position parameter in Table 2 is recorded, engine throttle position parameter might not be recorded.","['O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(43, 50, 'TABLE')]"
e,['O'],[]
"If this function is integrated in other system, it could be represented with the stateus of other system.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"In impact event, data elements recorded by EDR shall meet the requirements in Annex A, and the EDR record data shall meet the test requirements <Paragraph_5.1>, 5.2 <Paragraph_5.3>.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'B-ANNEX', 'L-ANNEX', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REFERENCE', 'I-REFERENCE', 'I-REFERENCE', 'I-REFERENCE', 'I-REFERENCE', 'I-REFERENCE', 'I-REFERENCE', 'L-REFERENCE', 'O']","[(43, 46, 'ABBREV'), (78, 85, 'ANNEX'), (95, 98, 'ABBREV'), (144, 180, 'REFERENCE')]"
"For event data recording, only one event could process at any designated time.","['O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
EDR record function requirements,"['U-ABBREV', 'O', 'O', 'O']","[(0, 3, 'ABBREV')]"
Storage medium requirements EDR data shall be recorded in non-volatile storage medium.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"EDR trigger requirements When vehicle reaches the trigger threshold specified <Paragraph_4.1.1>, EDR controller shall 16 For Reference Purposes","['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REFERENCE', 'I-REFERENCE', 'L-REFERNCE', 'O', 'U-ABBREV', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (78, 95, 'REFERNCE'), (97, 100, 'ABBREV')]"
"Only trigger the recording of data, and meet the test requirements after test <Paragraph_5.3.2>.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REFERENCE', 'I-REFERENCE', 'L-REFERENCE', 'O']","[(78, 95, 'REFERENCE')]"
"Requirements on number of storage events EDR system shall be able to record at least continously three times of impact event data, and meet the test requirements after test <Paragraph_5.3.3>.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REFERENCE', 'I-REFERENCE', 'L-REFERENCE', 'O']","[(173, 190, 'REFERENCE')]"
Requirements on storage coverage mechanism,"['O', 'O', 'O', 'O', 'O']",[]
"If no further space is available for EDR to record an event, the unlocked event data shall be overridden by the current event data in turn as per time sequence.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
But locked event data shall not be covered by subsequent event data.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"Perform test as per 5.3.4, test requirements shall be met.","['O', 'O', 'O', 'O', 'U-PARAGRAPH', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(20, 25, 'PARAGRAPH')]"
"If manufacturer is allowed to set other storage coverage mechanisms, those shall meet requirements <Paragraph_4.3.4.1> as well.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
"Requirements on power-off storage In case of occurrence of impact event, if power supply circuit of the vehicle cannot supply power normally, EDR system itself shall feature power supply capability, it shall meet that under impact at single direction, all related ignition circuits fully deploy after power-off (150±10) ms (if available), EDR system shall record all data before T0 and data from T0 to power off (150±10) ms and test requirments <Paragraph_5.3.5> shall be met.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SYSTEM', 'L-SYSTEM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(312, 318, 'PARAMETER'), (339, 349, 'SYSTEM'), (413, 419, 'PARAMETER')]"
Requirements on data retrieval,"['O', 'O', 'O', 'O']",[]
"General requirements After event, data recorded by EDR shall be retrieved and be protected from tampering or deletion.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(51, 54, 'ABBREV')]"
Customized 6 CAN - Line H 14 CAN - Line L 7 Line K 15 Line L 8,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Customized 16 p 17 For Reference Purposes,"['O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
Only Data read directly from EDR controller shall meet requirements of d) in Chapter 8.,"['O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CHAPTER', 'L-CHAPTER', 'O']","[(29, 32, 'ABBREV'), (77, 86, 'CHAPTER')]"
Requirements on data retrieval protocol,"['O', 'O', 'O', 'O', 'O']",[]
Read data based on controller area network (CAN),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O']","[(44, 47, 'ABBREV')]"
"General requirements Based on CAN read data, 11-bit CAN identifier or 29-bit CAN identifier could be used to read data, 11-bit CAN identifier for reading data shall comply with 4.5.3.1.2, 29-bit CAN identifier for reading data shall comply with 4.5.3.1.3.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAGRAPH', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAGRAPH', 'O']","[(120, 126, 'PARAMETER'), (177, 186, 'PARAGRAPH'), (188, 194, 'PARAMETER'), (245, 254, 'PARAGRAPH')]"
4.4.3.1.2 11-bit CAN identifier read data,"['U-PARAGRAPH', 'O', 'O', 'O', 'O', 'O']","[(0, 9, 'PARAGRAPH')]"
"Function addressing In case of function addressing, the EDR data retrieval tool shall use the 0x22 10.2 of GB/T XXXX Road vehicles -- Unified diagnostic services (UDS) to read the EDR data.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O']","[(56, 59, 'ABBREV'), (163, 166, 'ABBREV'), (180, 183, 'ABBREV')]"
Table 5 specifies the definition of 11-bit CAN identifier.,"['B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O']","[(0, 7, 'TABLE'), (36, 42, 'PARAMETER')]"
Table 5 Definition of 11-bit CAN Identifier in Function Addressing CAN ID Description 7DF16,"['B-TABLE', 'L-TABLE', 'O', 'O', 'U-PARAMETER', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 7, 'TABLE'), (22, 28, 'PARAMETER'), (29, 32, 'ABBREV')]"
EDR data retrieval tool sends CAN identifier of the function addressing request information 7XX16,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV')]"
ECU recording EDR data sends CAN identifier of the physical response information to,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 3, 'ABBREV')]"
EDR data retrieval tool 7XX16-816 EDR data retrieval tool sends CAN identifier of the physical request information to ECU recording EDR data Note:,"['U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (34, 37, 'ABBREV'), (118, 121, 'ABBREV'), (132, 135, 'ABBREV')]"
"For physical response ID of ECU recording EDR data reply, EDR data retrieval tool uses the principle of ID minus 8 to send the physical request information.","['O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'L-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(28, 31, 'ABBREV'), (42, 45, 'ABBREV'), (58, 61, 'ABBREV'), (107, 114, 'CARDINAL')]"
Example: EDR data retrieval tool sends function addressing EDR request data command: 7DF16 03 22 FA 13 00 00 00 00 ECU recording EDR data sends EDR response data to EDR data retrieval tool: 7XX 1X XX 62 FA 13 XX XX XX EDR data retrieval tool sends physical addressing FC EDR request data command: 7XX-8,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(59, 62, 'ABBREV'), (115, 118, 'ABBREV'), (129, 132, 'ABBREV'), (165, 168, 'ABBREV')]"
30 00 00 00 00 00 00 00 ECU recording EDR data sends remaining CF EDR response data to EDR data retrieval tool: 7XX 21,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O']","[(24, 27, 'ABBREV'), (38, 41, 'ABBREV'), (66, 69, 'ABBREV'), (87, 90, 'ABBREV')]"
XX XX XX XX XX XX XX Note:,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[]
The amount of remaining CF depends on the length of the ECU recording EDR data sending EDR response data to EDR data retrieval tool.,"['O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O']","[(24, 26, 'ABBREV'), (56, 59, 'ABBREV'), (70, 73, 'ABBREV'), (108, 111, 'ABBREV')]"
"Physical addressing In case of physical addressing, the EDR data retrieval tool shall use the 0x22 10.2 of GB/T XXXX-201X Road vehicles -- Unified diagnostic services (UDS) to read the EDR data.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O']","[(56, 59, 'ABBREV'), (168, 171, 'ABBREV'), (185, 188, 'ABBREV')]"
Table 6 specifies the definition of 11-bit CAN identifier.,"['B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O']","[(0, 7, 'TABLE'), (36, 42, 'PARAMETER')]"
Table 6 Definition of 11-bit CAN Identifier in Physical Addressing 18 For Reference Purposes,"['B-TABLE', 'L-TABLE', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[(0, 7, 'TABLE'), (22, 28, 'PARAMETER')]"
Only CAN ID Description 7F116,"['O', 'O', 'O', 'O', 'O']",[]
EDR data retrieval tool sends CAN identifier of the physical request information to ECU recording EDR data 7F916,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O']","[(84, 87, 'ABBREV'), (98, 101, 'ABBREV')]"
ECU recording EDR data sends CAN identifier of the physical response information to EDR data retrieval tool,"['U-ABBREV', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O']","[(0, 3, 'ABBREV'), (14, 17, 'ABBREV'), (84, 87, 'ABBREV')]"
4.4.3.1.3 29-bit,"['O', 'O']",[]
CAN identifier read data service,"['O', 'O', 'O', 'O', 'O']",[]
"<Paragraph_10.2> of GB/T XXXX Road vehicles -- Unified diagnostic services (UDS) to read the EDR data, the 29-bit CAN identifier shall conform to the conventional fixed addressing format defined in Annex A of GB/T XXXX-201X Road vehicles -- Diagnostic communication over Controller Area Network, Table 7","['O', 'O', 'O', 'O', 'B-REG', 'I-REG', 'I-REG', 'L-REG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ANNEX', 'L-ANNEX', 'O', 'B-REG', 'I-REG', 'I-REG', 'L-REG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE']","[(20, 29, 'REG'), (76, 79, 'ABBREV'), (93, 96, 'ABBREV'), (107, 113, 'PARAMETER'), (198, 205, 'ANNEX'), (209, 223, 'REG'), (296, 303, 'TABLE')]"
specifies the definition of the 29-bit CAN identifier,"['O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O']","[(32, 38, 'PARAMETER')]"
", Table 8 specifies the definition of the 29-bit conventional fixed addressing CAN identifier format, Table 9 specifies the CAN identifier definition for 29-bit physical addressing ECU recording EDR data.","['O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O', 'O']","[(2, 9, 'TABLE'), (42, 48, 'PARAMETER'), (102, 109, 'TABLE'), (154, 160, 'PARAMETER'), (181, 184, 'ABBREV'), (195, 198, 'ABBREV')]"
Table 7 Definition of the 29-bit CAN Identifier,"['B-TABLE', 'L-TABLE', 'O', 'O', 'O', 'U-PARAMETER', 'O', 'O']","[(0, 7, 'TABLE'), (26, 32, 'PARAMETER')]"
CAN ID,"['O', 'O']",[]
Description,['O'],[]
1816DB16FF16F116 EDR data retrieval tool sends CAN identifier of the function addressing request information to ECU recording EDR data,"['O', 'U-PARAMETER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O']","[(17, 20, 'PARAMETER'), (112, 115, 'ABBREV'), (126, 129, 'ABBREV')]"
(FF16) 1816DA16F116XX16,"['O', 'O', 'O', 'O']",[]
ECU recording EDR data,"['U-ABBREV', 'O', 'U-ABBREV', 'O']","[(0, 3, 'ABBREV'), (14, 17, 'ABBREV')]"
(XX16) sends CAN identifier of the physical response information to EDR data retrieval tool,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O']","[(68, 71, 'ABBREV')]"
1816DA16XX16F116 EDR data retrieval tool sends CAN identifier of the physical request information to ECU recording EDR data,"['O', 'U-ABBREV', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'U-ABBREV', 'O']","[(17, 20, 'ABBREV'), (101, 104, 'ABBREV'), (115, 118, 'ABBREV')]"
(XX16) Note 1: ECU recording EDR data (FF16),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-ABBREV', 'O', 'O', 'O', 'O']","[(29, 32, 'ABBREV')]"
